,date,codneg,preult,voltot
423,2017-06-07,AALR3,17.97,11611230.0
424,2017-06-07,AZUL4,23.57,9819570.0
425,2017-06-07,MOVI3,9.6,7722053.0
426,2017-06-07,PARD3,24.39,10168299.0
427,2017-06-07,WIZS3,22.0,9413499.0
428,2017-06-08,AALR3,17.89,7642946.0
429,2017-06-08,AZUL4,22.9,4789540.0
430,2017-06-08,MOVI3,9.8,7866647.0
431,2017-06-08,PARD3,24.4,8328569.0
432,2017-06-08,WIZS3,21.6,18256851.0
433,2017-06-09,AALR3,18.0,4012897.0
434,2017-06-09,AZUL4,23.15,3417039.0
435,2017-06-09,MOVI3,10.15,7724843.0
436,2017-06-09,PARD3,24.95,37051144.0
437,2017-06-09,WIZS3,20.27,39368793.0
438,2017-06-12,AALR3,18.2,7906857.0
439,2017-06-12,AZUL4,22.7,5951848.0
440,2017-06-12,MOVI3,10.05,3736827.0
441,2017-06-12,PARD3,24.3,10197093.0
442,2017-06-12,PSVM11,1.0,33269.0
443,2017-06-12,WIZS3,20.4,9458300.0
444,2017-06-13,AALR3,18.0,5580218.0
445,2017-06-13,AZUL4,23.35,6084801.0
446,2017-06-13,MOVI3,10.16,9004911.0
447,2017-06-13,PARD3,25.0,15031571.0
448,2017-06-13,WIZS3,19.85,13386092.0
449,2017-06-14,AALR3,17.93,15807535.0
450,2017-06-14,AZUL4,22.9,4396940.0
451,2017-06-14,MOVI3,9.93,3974875.0
452,2017-06-14,PARD3,25.7,20440107.0
453,2017-06-14,PSVM11,1.25,750.0
454,2017-06-14,WIZS3,19.55,14261908.0
455,2017-06-16,AALR3,17.76,31596321.0
456,2017-06-16,AZUL4,22.57,1687984.0
457,2017-06-16,MOVI3,10.15,16874092.0
458,2017-06-16,PARD3,25.39,22829528.0
459,2017-06-16,WIZS3,19.9,10173498.0
460,2017-06-19,AALR3,17.75,5431638.0
461,2017-06-19,AZUL4,22.6,5523118.0
462,2017-06-19,MOVI3,10.45,3608883.0
463,2017-06-19,PARD3,24.96,21864869.0
464,2017-06-19,WIZS3,19.7,7776284.0
465,2017-06-20,AALR3,17.6,2442318.0
466,2017-06-20,AZUL4,22.95,2839418.0
467,2017-06-20,MOVI3,10.43,5373353.0
468,2017-06-20,PARD3,24.85,34548938.0
469,2017-06-20,PSVM11,1.25,375.0
470,2017-06-20,WIZS3,19.37,7825912.0
471,2017-06-21,AALR3,17.8,2832048.0
472,2017-06-21,AZUL4,23.0,10935790.0
473,2017-06-21,MOVI3,10.59,7535684.0
474,2017-06-21,PARD3,24.85,9120997.0
475,2017-06-21,PSVM11,1.25,1375.0
476,2017-06-21,WIZS3,18.65,14164783.0
477,2017-06-22,AALR3,17.8,4041125.0
478,2017-06-22,AZUL4,22.8,1396076.0
479,2017-06-22,MOVI3,10.3,38206864.0
480,2017-06-22,PARD3,25.05,10906981.0
481,2017-06-22,WIZS3,19.18,39743916.0
482,2017-06-23,AALR3,17.7,10413730.0
483,2017-06-23,AZUL4,23.31,3658122.0
484,2017-06-23,MOVI3,10.09,19387670.0
485,2017-06-23,PARD3,25.01,19639654.0
486,2017-06-23,WIZS3,19.49,6550369.0
487,2017-06-26,AALR3,17.8,2517557.0
488,2017-06-26,AZUL4,23.35,5891114.0
489,2017-06-26,MOVI3,10.15,2708153.0
490,2017-06-26,PARD3,24.4,11856111.0
491,2017-06-26,WIZS3,19.89,8648647.0
492,2017-06-27,AALR3,17.75,2572094.0
493,2017-06-27,AZUL4,23.25,7777091.0
494,2017-06-27,MOVI3,10.01,8067415.0
495,2017-06-27,PARD3,24.1,20147883.0
496,2017-06-27,WIZS3,20.0,25817578.0
497,2017-06-28,AALR3,17.56,2676510.0
498,2017-06-28,AZUL4,23.08,6142769.0
499,2017-06-28,MOVI3,10.0,5336822.0
500,2017-06-28,PARD3,23.94,12574997.0
501,2017-06-28,PSVM11,1.25,2500.0
502,2017-06-28,WIZS3,19.65,6762673.0
503,2017-06-29,AALR3,17.41,2668692.0
504,2017-06-29,AZUL4,23.13,13268165.0
505,2017-06-29,MOVI3,9.98,5841230.0
506,2017-06-29,PARD3,23.9,6345063.0
507,2017-06-29,WIZS3,18.2,26213036.0
508,2017-06-30,AALR3,17.54,6391038.0
509,2017-06-30,AZUL4,23.45,3676485.0
510,2017-06-30,MOVI3,10.0,7759264.0
511,2017-06-30,PARD3,24.0,28769558.0
512,2017-06-30,WIZS3,18.4,35181007.0
513,2017-07-03,AALR3,18.03,1286010.0
